seed1,seed2,strategy,strategy_detail,seeding_approach,global_seed_flag,trial,final_loss,train_rmse,train_mae,train_mape,val_rmse,val_mae,val_mape,is_diagonal
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,21,1976093.875,541.2966045971416,396.83468191964283,7.6527520796755555,455.72584116543834,391.73583984375,6.298286515144998,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,22,2202882.25,541.9105920406673,396.9447079613095,7.657731164133165,454.08408029009104,390.58056640625,6.280759287033905,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,23,2006047.375,532.9034779540065,396.73809523809524,7.603060632778898,482.1291698894948,414.8541666666667,6.660269529760848,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,24,2084640.375,610.4942343226456,435.01092819940476,8.543544029268354,353.83244707878055,304.939208984375,4.981451643879732,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,25,2280781.5,636.2831636315422,450.88797433035717,8.87902630535921,336.41172926014144,281.29736328125,4.622769440034888,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,26,2051872.875,583.6860850359532,420.3484700520833,8.216743017758649,380.786792312817,332.668212890625,5.402142158334842,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,27,2094462.25,554.3804502560862,402.9932105654762,7.817395856678624,425.81947086788676,369.955322265625,5.967843446363333,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,28,2070280.25,570.2947957625126,412.84393601190476,8.045045587075766,398.7403057582181,348.427734375,5.641237699712501,False
456,789,different_seeds,layer1_456_layer2_789,layer_specific_different,False,29,2161778.0,598.7932630585456,428.3779761904762,8.398355932547112,364.3320850049615,316.546875,5.157557320241069,False
456,321,different_seeds,layer1_456_layer2_321,layer_specific_different,False,0,2135600.5,580.5243190736351,418.6455310639881,8.177781205166392,384.70784142564423,336.244384765625,5.456398041126742,False
456,321,different_seeds,layer1_456_layer2_321,layer_specific_different,False,1,2323128.75,599.9840723943995,429.0707775297619,8.413520599458831,363.1802104931114,315.33447265625,5.13916336106954,False
456,321,different_seeds,layer1_456_layer2_321,layer_specific_different,False,2,2151698.5,549.3919227871282,400.23946707589283,7.749203588141232,436.13829910993246,377.661865234375,6.0847632440291655,False
456,321,different_seeds,layer1_456_layer2_321,layer_specific_different,False,3,2094296.875,553.2200524455869,402.330078125,7.801282902862056,428.1234776137078,371.696044921875,5.994252815854476,False
456,321,different_seeds,layer1_456_layer2_321,layer_specific_different,False,4,2320379.25,571.2094403278743,413.3831380208333,8.057382075797971,397.39403553500637,347.29541015625,5.624058645617141,False
456,321,different_seeds,layer1_456_layer2_321,layer_specific_different,False,5,2043719.75,588.1567813071036,422.6946614583333,8.270421904973587,375.5407368522794,327.7412109375,5.327392160340348,False
456,321,different_seeds,layer1_456_layer2_321,layer_specific_different,False,6,2142987.25,597.0291120450129,427.34351748511904,8.375712757929636,366.0751604253264,318.357177734375,5.18502232371608,False
456,321,different_seeds,layer1_456_layer2_321,layer_specific_different,False,7,2032514.625,581.1731772594095,418.9981398809524,8.18584859850284,383.88830136592924,335.50390625,5.445163873151057,False
456,321,different_seeds,layer1_456_layer2_321,layer_specific_different,False,8,2182824.75,607.2111835526928,433.18726748511904,8.503626082053295,356.5994032573066,308.130615234375,5.029870055939789,False
456,321,different_seeds,layer1_456_layer2_321,layer_specific_different,False,9,1906988.75,545.5325611382624,398.40450613839283,7.700313645645195,444.96275883146893,384.084228515625,6.182200112729586,False
456,321,different_seeds,layer1_456_layer2_321,layer_specific_different,False,10,2133359.0,569.8297371000142,412.56805710565476,8.038733709598878,399.4323260100992,349.007080078125,5.650027241620281,False
456,321,different_seeds,layer1_456_layer2_321,layer_specific_different,False,11,2279344.5,592.2859964995662,424.8033389136905,8.318666672641417,370.98583003254726,323.31298828125,5.260209391219684,False
456,321,different_seeds,layer1_456_layer2_321,layer_specific_different,False,12,2131890.5,550.5940875465027,400.7860863095238,7.763766613057167,433.54885278502417,375.7490234375,6.055742569420036,False
456,321,different_seeds,layer1_456_layer2_321,layer_specific_different,False,13,2106828.0,552.5223121745365,401.9258742559524,7.791461458642307,429.5356348546826,372.757080078125,6.010350308113733,False
456,321,different_seeds,layer1_456_layer2_321,layer_specific_different,False,14,2269511.0,642.0356636517755,455.2044735863095,8.965989242474189,333.47783184807133,276.7902018229167,4.555121271891502,False
456,321,different_seeds,layer1_456_layer2_321,layer_specific_different,False,15,2262051.25,601.5871546929901,429.9966982886905,8.43378799661813,361.660399845906,313.714111328125,5.114580053171544,False
